"30 November 2025","","","Source: ThaiBMA"
"BOND","Coupon","Maturity","TTM (Yrs.)","Type","Coupon Type","TRIS","FITCH","Last Trade Date","Last Exec.Yield %","Quoted Date","Quoted Yield","Max","Min","Model Yield(%)","Static Spread(bp)","Market Yield(%)","DM","Clean Price %","AI %","Modified Duration*","Convexity","Par","Currency","Registration Status","Index Ratio"
"Government Bonds"
"ESGLB35DA","1.585","17-Dec-2035","10.049315","Straight","Fixed","","","28-Nov-25","1.715000","28-Nov-25","1.710000","1.732130","1.688739","1.715000","-","1.715000","-","98.802813","0.725192","9.173045","93.472967","1000","THB","Registered","-"
"ESGLB376A","3.39","17-Jun-2037","11.550685","Straight","Fixed","","","28-Nov-25","1.880000","28-Nov-25","1.846594","1.880000","1.817500","1.880000","-","1.880000","-","115.598572","1.551041","9.588487","107.871924","1000","THB","Registered","-"
"ILB283A","1.25","12-Mar-2028","2.279452","Straight","Fixed","","","19-Nov-25","1.940000","28-Nov-25","1.903527","2.000000","1.900000","1.903527","-","1.903527","-","98.555031","0.273973","2.224382","6.094633","1000","THB","Registered","1.12842"
"LB25DA","3.85","12-Dec-2025","0.030137","Straight","Fixed","","","26-Nov-25","1.210000","19-Nov-24","2.004115","2.030000","1.990000","1.252060","-","1.252060","-","100.072420","1.814247","0.029949","0.015779","1000","THB","Registered","-"
"LB266A","2.35","17-Jun-2026","0.542466","Straight","Fixed","","","28-Nov-25","1.190000","22-Jul-25","1.295556","1.315576","1.259650","1.190000","-","1.190000","-","100.623457","1.075205","0.534879","0.554773","1000","THB","Registered","-"
"LB267A","6.15","07-Jul-2026","0.597260","Straight","Fixed","","","06-Nov-25","1.300000","03-Jan-14","4.077500","4.200000","4.010000","1.243559","-","1.243559","-","102.903698","2.476849","0.583172","0.636860","1000","THB","Registered","-"
"LB26DA","2.125","17-Dec-2026","1.043836","Straight","Fixed","","","28-Nov-25","1.240000","28-Nov-25","1.250340","1.290000","1.230000","1.240000","-","1.240000","-","100.911853","0.972260","1.021898","1.564688","1000","THB","Registered","-"
"LB273A","2.25","17-Mar-2027","1.290411","Straight","Fixed","","","28-Nov-25","1.235000","28-Nov-25","1.255680","1.300000","1.240000","1.235000","-","1.235000","-","101.303825","0.462329","1.266104","2.245500","1000","THB","Registered","-"
"LB276A","1","17-Jun-2027","1.542466","Straight","Fixed","","","28-Nov-25","1.255000","29-Oct-24","2.128890","2.140565","2.116000","1.255000","-","1.255000","-","99.609823","0.457534","1.519382","3.080471","1000","THB","Registered","-"
"LB27NA","2.4","17-Nov-2027","1.961644","Straight","Fixed","","","28-Nov-25","1.245000","28-Nov-25","1.263080","1.303256","1.250000","1.245000","-","1.245000","-","102.236357","0.092055","1.910802","4.639657","1000","THB","Registered","-"
"LB27DA","3.58","17-Dec-2027","2.043836","Straight","Fixed","","","28-Nov-25","1.282000","03-Dec-18","2.709668","2.730000","2.657453","1.282000","-","1.282000","-","104.615772","1.637973","1.947700","4.878421","1000","THB","Registered","-"
"LB283A","5.67","13-Mar-2028","2.282192","Straight","Fixed","","","18-Nov-25","1.380000","05-Jul-16","2.191951","2.250000","2.110000","1.266001","-","1.266001","-","109.885597","1.227205","2.139582","5.812620","1000","THB","Registered","-"
"LB284A","2.05","17-Apr-2028","2.378082","Straight","Fixed","","","28-Nov-25","1.261000","28-Nov-25","1.267801","1.300748","1.250000","1.261000","-","1.261000","-","101.842850","0.252740","2.311121","6.560865","1000","THB","Registered","-"
"LB286A","2.65","17-Jun-2028","2.545205","Straight","Fixed","","","28-Nov-25","1.261000","14-Oct-25","1.206378","1.230000","1.167000","1.261000","-","1.261000","-","103.462611","1.212466","2.434391","7.297894","1000","THB","Registered","-"
"LB28DA","2.875","17-Dec-2028","3.046575","Straight","Fixed","","","28-Nov-25","1.320000","09-Jul-24","2.390494","2.410000","2.380000","1.320000","-","1.320000","-","104.620083","1.315411","2.883949","10.032307","1000","THB","Registered","-"
"LB293A","2.4","17-Mar-2029","3.293151","Straight","Fixed","","","28-Nov-25","1.270000","14-Oct-25","1.213889","1.280000","1.200000","1.270000","-","1.270000","-","103.639211","0.493151","3.151105","11.737074","1000","THB","Registered","-"
"LB294A","1.19","17-Apr-2029","3.378082","Straight","Fixed","","","28-Nov-25","1.292000","28-Nov-25","1.292778","1.370000","1.280000","1.292000","-","1.292000","-","99.665446","0.146712","3.292445","12.604352","1000","THB","Registered","-"
"LB296A","4.875","22-Jun-2029","3.558904","Straight","Fixed","","","28-Nov-25","1.290000","20-Aug-19","1.540744","1.560000","1.510000","1.290000","-","1.290000","-","112.418939","2.163699","3.242802","12.769496","1000","THB","Registered","-"
"LB29NA","2.5","17-Nov-2029","3.964384","Straight","Fixed","","","28-Nov-25","1.320000","28-Nov-25","1.337778","1.400000","1.310000","1.320000","-","1.320000","-","104.545402","0.095890","3.768589","16.454050","1000","THB","Registered","-"
"LB29DA","1.6","17-Dec-2029","4.046575","Straight","Fixed","","","28-Nov-25","1.345000","29-Oct-24","2.226372","2.250000","2.217000","1.345000","-","1.345000","-","100.997961","0.732055","3.878468","17.340822","1000","THB","Registered","-"
"LB303A","1.66","17-Mar-2030","4.293151","Straight","Fixed","","","28-Nov-25","1.340000","28-Nov-25","1.345556","1.390000","1.330000","1.340000","-","1.340000","-","101.336035","0.341096","4.118699","19.393585","1000","THB","Registered","-"
"LB316A","3.65","20-Jun-2031","5.553425","Straight","Fixed","","","28-Nov-25","1.410000","28-Nov-25","1.425191","1.452260","1.400000","1.410000","-","1.410000","-","111.916315","1.640000","4.999020","29.177904","1000","THB","Registered","-"
