=== BANK_CODE ===
Rows: 485, Columns: 4

         Ref link                                                              รหัสมาตรฐาน                                                                                                                                                                                                                                    2025-10-10 00:00:00 Unnamed: 3
   REFERENCE CODE                                                             FI_NAME_THAI                                                                                                                                                                                                                                        FI_NAME_ENGLISH  OPEN_DATE
              001                                                      ธนาคารแห่งประเทศไทย                                                                                                                                                                                                                                       BANK OF THAILAND   24851210
              002                                              ธนาคารกรุงเทพ จำกัด (มหาชน)                                                                                                                                                                                                                    BANGKOK BANK PUBLIC COMPANY LIMITED   24871201
              004                                             ธนาคารกสิกรไทย จำกัด (มหาชน)                                                                                                                                                                                                                    KASIKORNBANK PUBLIC COMPANY LIMITED   24880608
              006                                              ธนาคารกรุงไทย จำกัด (มหาชน)                                                                                                                                                                                                                 KRUNG THAI BANK PUBLIC COMPANY LIMITED   25090314
              008                                                   ธนาคาร เจพีมอร์แกน เชส                                                                                                                                                                                                              JPMORGAN CHASE BANK, NATIONAL ASSOCIATION   24920805
              009                         ธนาคารโอเวอร์ซี-ไชนีส แบงกิ้ง คอร์ปอเรชั่น จำกัด                                                                                                                                                                                                            OVERSEA-CHINESE BANKING CORPORATION LIMITED   24520702
              011                                         ธนาคารทหารไทยธนชาต จำกัด (มหาชน)                                                                                                                                                                                                              TMBTHANACHART BANK PUBLIC COMPANY LIMITED   25001108
              014                                           ธนาคารไทยพาณิชย์ จำกัด (มหาชน)                                                                                                                                                                                                        THE SIAM COMMERCIAL BANK PUBLIC COMPANY LIMITED   24490401
              017                                              ธนาคาร ซิตี้แบงก์ เอ็น. เอ.                                                                                                                                                                                                                                                    NaN   24660101
              017                                              ธนาคาร ซิตี้แบงก์ เอ็น. เอ.                                                                                                                                                                                                                                         CITIBANK, N.A.   24660101
              018                               ธนาคารซูมิโตโม มิตซุย แบงกิ้ง คอร์ปอเรชั่น                                                                                                                                                                                                                    SUMITOMO MITSUI BANKING CORPORATION   24951122
              020                            ธนาคารสแตนดาร์ดชาร์เตอร์ด (ไทย) จำกัด (มหาชน)                                                                                                                                                                                                  STANDARD CHARTERED BANK (THAI) PUBLIC COMPANY LIMITED   24761011
              022                                      ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน)                                                                                                                                                                                                                  CIMB THAI BANK PUBLIC COMPANY LIMITED   24920311
              023                                                 ธนาคาร อาร์ เอช บี จำกัด                                                                                                                                                                                                                                        RHB BANK BERHAD   25070228
              024                                               ธนาคารยูโอบี จำกัด (มหาชน)                                                                                                                                                                                                     UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED   24821002
              025                                        ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน)                                                                                                                                                                                                                 BANK OF AYUDHYA PUBLIC COMPANY LIMITED   24880402
              026                                    ธนาคาร เมกะ สากลพาณิชย์ จำกัด (มหาชน)                                                                                                                                                                                              MEGA INTERNATIONAL COMMERCIAL BANK PUBLIC COMPANY LIMITED   24901010
              027                                ธนาคารแห่งอเมริกา เนชั่นแนล แอสโซซิเอชั่น                                                                                                                                                                                                                  BANK OF AMERICA, NATIONAL ASSOCIATION   24921201
              029                                               ธนาคารอินเดียน โอเวอร์ซีส์                                                                                                                                                                                                                                   INDIAN OVERSEAS BANK   24901223
              030                                                             ธนาคารออมสิน                                                                                                                                                                                                                                GOVERNMENT SAVINGS BANK   24900401
              031                        ธนาคารฮ่องกงและเซี่ยงไฮ้แบงกิ้งคอร์ปอเรชั่น จำกัด                                                                                                                                                                                                  THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED   24311202
              032                                       ธนาคารดอยซ์แบงก์ เอจี สาขากรุงเทพฯ                                                                                                                                                                                                                       DEUTSCHE BANK AG. BANGKOK BRANCH   25210703
              033                                                     ธนาคารอาคารสงเคราะห์                                                                                                                                                                                                                            THE GOVERNMENT HOUSING BANK   24960924
              034                                     ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร                                                                                                                                                                                                     BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES   25091101
              035                               ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย                                                                                                                                                                                                                         EXPORT-IMPORT BANK OF THAILAND   25370217
              039                                         ธนาคาร มิซูโฮ จำกัด สาขากรุงเทพฯ                                                                                                                                                                                                                       MIZUHO BANK, LTD. BANGKOK BRANCH   25450401
              045                                                  ธนาคารบีเอ็นพี พารีบาส์                                                                                                                                                                                                                                            BNP PARIBAS   25361109
              052                                  ธนาคารแห่งประเทศจีน (ไทย) จำกัด (มหาชน)                                                                                                                                                                                                            BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED   25370221
              066                                                ธนาคารอิสลามแห่งประเทศไทย                                                                                                                                                                                                                               ISLAMIC BANK OF THAILAND   25460612
              067                                               ธนาคารทิสโก้ จำกัด (มหาชน)                                                                                                                                                                                                                      TISCO BANK PUBLIC COMPANY LIMITED   25480701
              069                                     ธนาคารเกียรตินาคินภัทร จำกัด (มหาชน)                                                                                                                                                                                                           KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED   25481003
              070                                       ธนาคารไอซีบีซี (ไทย) จำกัด (มหาชน)                                                                                                                                                                                  INDUSTRIAL AND COMMERCIAL BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED   25481223
              071                                            ธนาคารไทยเครดิต จำกัด (มหาชน)                                                                                                                                                                                                                THAI CREDIT BANK PUBLIC COMPANY LIMITED   25500118
              073                                   ธนาคารแลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน)                                                                                                                                                                                                            LAND AND HOUSES BANK PUBLIC COMPANY LIMITED   25481219
              074                                     BANGKOK BANK (CHINA) COMPANY LIMITED                                                                                                                                                                                                                   BANGKOK BANK (CHINA) COMPANY LIMITED   25521228
              075                                                      BANGKOK BANK BERHAD                                                                                                                                                                                                                                    BANGKOK BANK BERHAD   25370901
              076                                               ธนาคารกัมพูชาพาณิชย์ จำกัด                                                                                                                                                                                                                              CAMBODIAN COMMERCIAL BANK   25340701
              077                                     KASIKORNBANK (CHINA) COMPANY LIMITED                                                                                                                                                                                                                   KASIKORNBANK (CHINA) COMPANY LIMITED   25601106
              078                                                     ธนาคารกสิกรไทย จำกัด                                                                                                                                                                                                                              KASIKORNTHAI BANK LIMITED   25571114
              080                        ธนาคาร ซูมิโตโม มิตซุย ทรัสต์ (ไทย) จำกัด (มหาชน)                                                                                                                                                                                               SUMITOMO MITSUI TRUST BANK (THAI) PUBLIC COMPANY LIMITED   25581028
              083                                                    พีที เพอร์มาตา ทีบีเค                                                                                                                                                                                                                                  PT BANK PERMATA, TBK.   25630520
              084                                     SIAM COMMERCIAL BANK MYANMAR LIMITED                                                                                                                                                                                                                   SIAM COMMERCIAL BANK MYANMAR LIMITED   25640115
              085                                            PT BANK MASPION INDONESIA TBK                                                                                                                                                                                                                          PT BANK MASPION INDONESIA TBK   25330730
              086                                       HATTHA BANK PUBLIC LIMITED COMPANY                                                                                                                                                                                                                     HATTHA BANK PUBLIC LIMITED COMPANY   25630826
              087                                    VB กลุ่มบริษัท เอซีเอ็ม โฮลดิ้ง จำกัด                                                                                                                                                                                                                                                    NaN        NaN
              088                                               ธนาคารคลิกซ์ จำกัด (มหาชน)                                                                                                                                                                                                                                                    NaN        NaN
              089                               VB กลุ่มบริษัท เอสซีบี เอกซ์ จำกัด (มหาชน)                                                                                                                                                                                                                                                    NaN        NaN
              093                                   บรรษัทประกันสินเชื่ออุตสาหกรรมขนาดย่อม                                                                                                                                                                                                                      THAI CREDIT GUARANTEE CORPORATION   25350221
              098                      ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย                                                                                                                                                                                               SMALL AND MEDIUM ENTERPRISE DEVELOPMENT BANK OF THAILAND   25451220
              301                                          บริษัท ไดนามิค เปย์เม้นท์ จำกัด                                                                                                                                                                                                                        DYNAMIC PAYMENT COMPANY LIMITED   25570921
              303                                     บริษัท ช้อปปี้เพย์ (ประเทศไทย) จำกัด                                                                                                                                                                                                                         SHOPEEPAY (THAILAND) CO., LTD.   25571114
              304                                            บริษัท พระอินทร์ ฟินเทค จำกัด                                                                                                                                                                                                                          PRAIN FINTECH COMPANY LIMITED   25580420
